SIGNID,SIGNUPNAME,FROMDATE,TODATE
"69","2011 SUMMER","20110618","20111014"
"71","2011 FALL","20111015","20111216"
"72","2012 JAN GSU","20120121","20120203"
"74","2011 DECEMBER","20111217","20120120"
"76","2012 JANUARY GSU 2","20120204","20120302"
"78","2012 MARCH","20120303","20120608"
"80","2012 SUMMER","20120609","20120928"
"81","2012 FALL","20120929","20130322"
"82","2013 SPRING","20130330","20130628"
"84","2013 Spring Break","20130323","20130329"
"85","2013 SUMMER","20130629","20130816"
"88","2013 FALL","20130817","20131011"
